_id,singkat,hasil
1,aamiin,amin 
2,adek,adik 
3,adlh,adalah 
4,aer,air 
5,aiskrim,es krim 
6,aj,saja 
7,aja,saja 
8,ajah,saja 
9,ajalah,saja 
10,aje,saja 
11,ajh,saja 
12,ajh,saja
13,ajj,saja
14,aku,saya
15,ak,saya 
16,akoh,saya
17,akutu,saya
18,aq,saya
19,alesan,alasan 
20,ama,sama 
21,amaca,ah masa
22,amuh,kamu
23,ancur,hancur 
24,ane,saya 
25,anget,hangat 
26,anjeng,anjing 
27,ank,anak 
28,apah,apa 
29,aph,apa
30,apo,apa 
31,apose,apa
32,apz,apa
33,aq,saya
34,artine,artinya 
35,asek,asik 
36,ati2,hati-hati 
37,atit,sakit 
38,atu,satu 
39,atw,atau 
40,ayang,sayang 
41,ayuk,ayo 
42,babang,abang
43,bae,baik 
44,bais,habis
45,bakalan,akan 
46,bales,balas 
47,bandingin,bandingkan 
48,banget,sekali 
49,bangett,sangat 
50,banyakin,perbanyak 
51,barengan,bersamaan 
52,baryaw,sabar ya
53,baso,bakso 
54,bay,selamat tinggal
55,bbrp,beberapa 
56,bc,baca 
57,bcs,bisa 
58,bct,bicara 
59,bdan,badan 
60,bdg,bandung 
61,bdn,badan 
62,becanda,bercanda 
63,bedua,berdua 
64,bego,bodoh 
65,bekel,bekal 
66,belom,belum 
67,belon,belum 
68,bener,benar 
69,bener2,benar-benar 
70,beneran,benar 
71,berantem,bertengkar 
72,berenti,berhenti 
73,besoq,besok
74,bete,sebal 
75,beud,banget
76,bg,bagi 
77,bgd,sangat 
78,bget,sangat 
79,bgini,begini 
80,bgitu,begitu 
81,bgks,bungkus 
82,bgm,bagaimana 
83,bgmn,bagaimana 
84,bgn,bangun 
85,bgni,begini 
86,bgntdr,bangun tidur 
87,bgs,bagus 
88,bgt,sangat 
89,bgtu,begitu 
90,bgus,bagus 
91,bhay,selamat tinggal
92,bhn,bahan 
93,bhs,bahas 
94,bhw,bahwa 
95,bhy,bahaya 
96,bisaa,bisa 
97,bisya,bisa
98,biza,bisa
99,bj,baju 
100,bju,baju 
101,bk,buku 
102,bkan,bukan 
103,bkin,bikin 
104,bkl,bakal 
105,bkn,bukan 
106,bkr,bakar 
107,bks,bungkus 
108,bl,beli 
109,blajar,belajar 
110,blg,bilang 
111,blh,boleh 
112,bli,beli 
113,blik,balik 
114,bljr,belajar 
115,blk,balik 
116,blkg,belakang 
117,blkng,belakang 
118,blkngny,belakangnya 
119,blm,belum 
120,bln,bulan 
121,blng,bilang 
122,blngn,bilang 
123,blom,belum 
124,bls,balas 
125,blum,belum 
126,bndg,bandung 
127,bndr,bandar 
128,bner,benar 
129,bneran,benar 
130,bnget,sangat 
131,bngks,bungkus 
132,bngng,bingung 
133,bngt,sangat 
134,bngun,bangun 
135,bnr,benar 
136,bnrbnr,benar-benar 
137,bnrn,benar 
138,bntar,sebentar 
139,bntr,sebentar 
140,bntr,sebentar
141,bnyak,banyak 
142,bnyk,banyak 
143,bnykny,banyaknya 
144,bobo,tidur 
145,bobok,tidur 
146,bokap,ayah 
147,bole,boleh 
148,boong,bohong 
149,bosen,bosan 
150,bpk,bapak 
151,brani,berani 
152,brapa,berapa 
153,brarti,berarti 
154,brasa,berasa 
155,brg,barang 
156,brgkt,berangkat 
157,brhsl,berhasil 
158,brjln,berjalan 
159,brkfst,breakfast 
160,brmslh,bermasalah 
161,brngkt,berangkat 
162,brp,berapa 
163,brpa,berapa 
164,brrti,berarti 
165,brs,beres 
166,brshbt,bersahabat 
167,brsm,bersama 
168,brthn,bertahan 
169,brtmn,berteman 
170,bru,baru 
171,bs,bisa 
172,bs,bisa
173,bsa,bisa 
174,bsa,bisa
175,bsk,besok 
176,bsk,besok
177,bsok,besok 
178,bsoq,besok
179,bsr,besar 
180,btg,batang 
181,bth,butuh 
182,btl,betul 
183,btul,betul 
184,buad,buat 
185,buatin,buatkan 
186,bucin,budak cinta
187,bulcit,omong kosong
